Time	mass relative_mass x-momentum relative-x y-momentum	relative-y Energy relative-energy
0 0.00731174 1 0.0142853 1 0.00783771 1 0.12938 1
100 0.00201166 0.275127 0.00463973 0.32479 0.00412795 0.526678 0.0336453 0.260051
200 0.00139085 0.190221 0.0027092 0.18965 0.00308301 0.393356 0.0231868 0.179216
300 0.00117319 0.160453 0.00169227 0.118462 0.00165293 0.210894 0.019011 0.14694
400 0.000893662 0.122223 0.00139485 0.0976423 0.00124542 0.158901 0.014408 0.111362
500 0.000713606 0.0975972 0.00126131 0.0882943 0.00110555 0.141055 0.0112957 0.0873071
600 0.00063154 0.0863733 0.00114449 0.0801169 0.000890491 0.113616 0.00996509 0.0770221
700 0.000592442 0.081026 0.00105154 0.0736101 0.000737486 0.0940945 0.0093071 0.0719364
800 0.000543473 0.0743288 0.000946802 0.0662781 0.000642303 0.0819503 0.00846874 0.0654566
900 0.000469168 0.0641664 0.000833339 0.0583354 0.000643897 0.0821537 0.00726635 0.0561631
1000 0.000382687 0.0523387 0.000741393 0.051899 0.000650595 0.0830082 0.0059577 0.0460483
1100 0.000326865 0.0447041 0.000677447 0.0474226 0.000501074 0.0639312 0.00530716 0.0410201
1200 0.000284652 0.0389308 0.000624814 0.0437383 0.000394785 0.0503699 0.00477387 0.0368982
1300 0.000208103 0.0284615 0.000593519 0.0415475 0.000492048 0.0627796 0.00350919 0.0271233
1400 0.000179014 0.024483 0.0005462 0.0382351 0.00044113 0.0562831 0.00306034 0.023654
1500 0.000167193 0.0228663 0.000499246 0.0349482 0.000305971 0.0390383 0.00287694 0.0222364
1600 0.000130484 0.0178458 0.000479481 0.0335646 0.000240912 0.0307375 0.00226652 0.0175184
1700 0.000102104 0.0139644 0.000469864 0.0328914 0.000226193 0.0288595 0.00183171 0.0141576
1800 9.05218e-05 0.0123803 0.000453603 0.0317531 0.000212348 0.027093 0.00163492 0.0126366
1900 8.40455e-05 0.0114946 0.000433843 0.0303699 0.00019076 0.0243387 0.00147302 0.0113852
2000 7.81452e-05 0.0106876 0.000417813 0.0292477 0.000171044 0.0218232 0.00134409 0.0103887
2100 7.02182e-05 0.00960348 0.000405729 0.0284018 0.000164437 0.0209803 0.00120761 0.00933386
2200 6.33306e-05 0.0086615 0.000394677 0.0276282 0.000162284 0.0207055 0.00108748 0.00840537
2300 5.80395e-05 0.00793784 0.000383746 0.026863 0.000160444 0.0204708 0.00099213 0.00766837
2400 5.34423e-05 0.00730911 0.000373364 0.0261362 0.000158532 0.0202269 0.000911308 0.00704368
2500 4.91401e-05 0.0067207 0.00036402 0.0254821 0.000156399 0.0199547 0.000837729 0.00647497
2600 4.50705e-05 0.00616412 0.000355993 0.0249203 0.000153763 0.0196183 0.00077079 0.00595759
2700 4.13871e-05 0.00566036 0.000349265 0.0244493 0.000150003 0.0191386 0.000714052 0.00551905
2800 3.83223e-05 0.0052412 0.000343522 0.0240472 0.000144701 0.0184621 0.00067103 0.00518652
2900 3.59072e-05 0.0049109 0.000338343 0.0236847 0.000138052 0.0176138 0.000640275 0.00494881
3000 3.38221e-05 0.00462572 0.000333405 0.023339 0.000130827 0.016692 0.000614065 0.00474623
3100 3.18757e-05 0.00435952 0.000328484 0.0229946 0.00012368 0.0157801 0.000587883 0.00454386
3200 3.00581e-05 0.00411094 0.000323468 0.0226434 0.000116948 0.0149212 0.000561108 0.00433691
3300 2.8417e-05 0.00388648 0.000318337 0.0222842 0.000110815 0.0141387 0.000534916 0.00413447
3400 2.70177e-05 0.00369511 0.000313138 0.0219203 0.000105347 0.013441 0.000511458 0.00395316
3500 2.58107e-05 0.00353003 0.000307942 0.0215566 0.000100586 0.0128336 0.000491056 0.00379547
3600 2.47033e-05 0.00337858 0.000302792 0.021196 9.64934e-05 0.0123114 0.000472862 0.00365485
3700 2.36641e-05 0.00323645 0.000297684 0.0208385 9.29124e-05 0.0118545 0.000456485 0.00352827
3800 2.27044e-05 0.0031052 0.000292594 0.0204821 8.96686e-05 0.0114407 0.00044193 0.00341576
3900 2.185e-05 0.00298834 0.000287488 0.0201247 8.6636e-05 0.0110537 0.000429376 0.00331873
4000 2.11207e-05 0.0028886 0.00028232 0.019763 8.37829e-05 0.0106897 0.000418921 0.00323793
4100 2.05142e-05 0.00280565 0.00027704 0.0193933 8.11661e-05 0.0103558 0.000410314 0.0031714
4200 2.00049e-05 0.00273599 0.000271607 0.0190131 7.88561e-05 0.0100611 0.000402962 0.00311458
4300 1.95517e-05 0.00267401 0.000266014 0.0186215 7.6871e-05 0.00980783 0.000396114 0.00306164
4400 1.91165e-05 0.0026145 0.000260282 0.0182203 7.51573e-05 0.00958919 0.000389143 0.00300777
4500 1.8683e-05 0.0025552 0.000254459 0.0178127 7.36039e-05 0.009391 0.00038181 0.00295108
4600 1.82615e-05 0.00249756 0.000248603 0.0174027 7.20694e-05 0.00919521 0.000374305 0.00289308
4700 1.78765e-05 0.0024449 0.000242767 0.0169942 7.04189e-05 0.00898462 0.000367042 0.00283694
4800 1.75427e-05 0.00239925 0.000236996 0.0165902 6.85626e-05 0.00874778 0.0003603 0.00278483
4900 1.72504e-05 0.00235927 0.000231312 0.0161923 6.64833e-05 0.00848248 0.000353967 0.00273588
